Episode,Step,Action,Reward,Epsilon,AvgWait,Phase,N_Queue,S_Queue,E_Queue,W_Queue,Q0,Q1
1,1,0,-0.0,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
1,2,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,3,2,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,4,2,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,5,0,-0.2,1.0,0.0,0,1,1,1,1,0.047528874,-0.0014321237
1,6,2,-0.0,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
1,7,2,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,8,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,9,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
1,10,0,-0.2,1.0,0.0,0,1,1,1,1,0.047528874,-0.0014321237
1,11,2,-0.0,1.0,0.0,1,0,0,0,0,0.0520574,0.0021580919
1,12,2,-0.0,1.0,0.0,1,0,0,0,0,0.0068883137,-0.017498454
1,13,2,-0.0,1.0,0.0,1,0,0,0,0,0.0068883137,-0.017498454
1,14,0,-0.5,1.0,0.0,2,0,0,0,0,0.0068883137,-0.017498454
1,15,0,-0.7,1.0,0.0,2,1,1,1,1,0.034173224,-0.024805965
1,16,2,-0.8,1.0,0.125,2,1,1,0,0,0.03674762,-0.02274562
1,17,0,-0.8,1.0,0.25,2,1,1,0,0,0.03384248,-0.02254728
1,18,2,-0.8,1.0,0.375,2,1,1,0,0,0.03384248,-0.02254728
1,19,0,-0.8,1.0,0.5,2,1,1,0,0,0.03384248,-0.02254728
1,20,2,-1.0,1.0,0.5,2,2,2,1,1,0.03384248,-0.02254728
1,21,0,-0.8,1.0,0.6,2,1,1,0,0,0.036298297,-0.021681312
1,22,2,-1.1,1.0,0.8,2,2,2,0,0,0.03384248,-0.02254728
1,23,2,-1.1,1.0,1.0526315789473684,2,2,2,0,0,0.03327868,-0.021621551
1,24,0,-0.6,1.0,1.3333333333333333,3,2,2,0,0,0.03327868,-0.021621551
1,25,0,-0.8,1.0,1.2727272727272727,3,3,3,1,1,0.01879458,-0.052417543
1,26,2,-0.9,1.0,1.5454545454545454,3,3,3,0,0,0.021973383,-0.056220382
1,27,2,2.1,1.0,0.2727272727272727,0,1,1,1,1,0.019251356,-0.052370366
1,28,2,-0.4,1.0,0.18181818181818182,0,0,0,1,1,0.0520574,0.0021580919
1,29,0,-0.8,1.0,0.2857142857142857,0,0,0,1,1,0.049715333,0.00022547023
1,30,2,-1.0,1.0,0.3333333333333333,0,1,1,2,2,0.049715333,0.00022547023
1,31,2,-0.8,1.0,0.4166666666666667,0,0,0,1,1,0.05390779,0.005009398
1,32,0,-0.95,1.0,0.5416666666666666,0,0,0,1,2,0.049715333,0.00022547023
1,33,0,-1.1,1.0,0.7083333333333334,0,0,0,2,2,0.050614383,-0.0002465994
1,34,2,-1.1,1.0,0.875,0,0,0,2,2,0.05234779,0.00212592
1,35,0,-1.45,1.0,0.9285714285714286,0,1,1,3,4,0.05234779,0.00212592
1,36,2,-1.4,1.0,1.1428571428571428,0,0,0,3,3,0.05719678,0.0057169315
1,37,0,-0.9,1.0,1.3571428571428572,0,0,0,3,3,0.053769276,0.004553049
1,38,0,-0.9,1.0,1.5714285714285714,0,0,0,3,3,0.053769276,0.004553049
1,39,2,-0.9,1.0,1.9230769230769231,1,0,0,3,3,0.053769276,0.004553049
1,40,0,-1.1,1.0,1.8666666666666667,1,1,1,4,4,0.015479092,-0.023563093
1,41,2,-0.9,1.0,2.066666666666667,1,0,0,3,3,0.019289887,-0.02649818
1,42,2,4.1,1.0,0.5,2,0,0,1,1,0.015479092,-0.023563093
1,43,0,0.85,1.0,0.034482758620689655,2,1,0,0,0,0.03739704,-0.025719892
1,44,0,-0.8,1.0,0.11538461538461539,2,1,1,0,0,0.034286946,-0.0237881
1,45,2,-1.0,1.0,0.17857142857142858,2,2,2,1,1,0.03384248,-0.02254728
1,46,0,-0.8,1.0,0.2692307692307692,2,1,1,0,0,0.036298297,-0.021681312
1,47,2,-0.95,1.0,0.38461538461538464,2,2,1,0,0,0.03384248,-0.02254728
1,48,0,-1.1,1.0,0.5384615384615384,2,2,2,0,0,0.033822812,-0.021630524
1,49,0,-1.1,1.0,0.6923076923076923,2,2,2,0,0,0.03327868,-0.021621551
1,50,2,-1.3,1.0,0.7333333333333333,2,3,3,1,1,0.03327868,-0.021621551
2,1,0,-0.0,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
2,2,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,3,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,4,2,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,5,0,-0.2,1.0,0.0,0,1,1,1,1,0.047528874,-0.0014321237
2,6,2,-0.0,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
2,7,2,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,8,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,9,0,-0.0,1.0,0.0,0,0,0,0,0,0.047528874,-0.0014321237
2,10,0,-0.2,1.0,0.0,0,1,1,1,1,0.047528874,-0.0014321237
2,11,0,-0.0,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
2,12,2,-0.0,1.0,0.0,1,0,0,0,0,0.047528874,-0.0014321237
2,13,0,-0.0,1.0,0.0,1,0,0,0,0,0.0068883137,-0.017498454
2,14,2,-0.0,1.0,0.0,1,0,0,0,0,0.0068883137,-0.017498454
2,15,2,-0.7,1.0,0.0,2,1,1,1,1,0.0068883137,-0.017498454
2,16,0,-0.8,1.0,0.125,2,1,1,0,0,0.03674762,-0.02274562
2,17,0,-0.8,1.0,0.25,2,1,1,0,0,0.03384248,-0.02254728
2,18,2,-0.8,1.0,0.375,2,1,1,0,0,0.03384248,-0.02254728
2,19,2,-0.8,1.0,0.5,2,1,1,0,0,0.03384248,-0.02254728
2,20,2,-1.0,1.0,0.5,2,2,2,1,1,0.03384248,-0.02254728
2,21,0,-0.8,1.0,0.6,2,1,1,0,0,0.036298297,-0.021681312
2,22,2,-1.1,1.0,0.8,2,2,2,0,0,0.03384248,-0.02254728
2,23,0,-1.1,1.0,1.0,2,2,2,0,0,0.03327868,-0.021621551
2,24,2,-1.1,1.0,1.2,2,2,2,0,0,0.03327868,-0.021621551
2,25,2,-0.8,1.0,1.2727272727272727,2,3,3,1,1,0.03327868,-0.021621551
2,26,0,-0.9,1.0,1.5454545454545454,3,3,3,0,0,0.035955902,-0.021257108
2,27,0,-0.9,1.0,1.8181818181818181,3,3,3,0,0,0.019251356,-0.052370366
2,28,0,-0.9,1.0,2.090909090909091,3,3,3,0,0,0.019251356,-0.052370366
2,29,2,3.2,1.0,0.38095238095238093,0,1,1,0,0,0.019251356,-0.052370366
2,30,2,0.1,1.0,0.0,0,1,1,1,1,0.049429685,0.00019724062
2,31,2,-0.5,1.0,0.0,0,0,0,0,0,0.0520574,0.0021580919
2,32,0,-0.65,1.0,0.041666666666666664,0,0,0,1,0,0.047528874,-0.0014321237
2,33,0,-0.8,1.0,0.125,0,0,0,1,1,0.04888669,0.00068383204
2,34,2,-0.8,1.0,0.22727272727272727,0,0,0,1,1,0.049715333,0.00022547023
2,35,0,-1.0,1.0,0.2692307692307692,0,1,1,2,2,0.049715333,0.00022547023
2,36,2,-0.8,1.0,0.34615384615384615,0,0,0,1,1,0.05390779,0.005009398
2,37,0,-0.8,1.0,0.4230769230769231,0,0,0,1,1,0.049715333,0.00022547023
2,38,2,-1.1,1.0,0.5769230769230769,0,0,0,2,2,0.049715333,0.00022547023
2,39,0,-0.6,1.0,0.76,0,0,0,2,2,0.05234779,0.00212592
2,40,0,-0.8,1.0,0.7931034482758621,0,1,1,3,3,0.05234779,0.00212592
2,41,2,-0.6,1.0,0.9310344827586207,1,0,0,2,2,0.05643385,0.006690182
2,42,2,-0.75,1.0,1.1428571428571428,1,0,0,2,3,0.012416027,-0.022006752
2,43,2,-0.9,1.0,1.3571428571428572,1,0,0,3,3,0.015052689,-0.023182675
2,44,0,2.7,1.0,0.17857142857142858,2,0,0,1,1,0.015479092,-0.023563093
2,45,0,-0.2,1.0,0.0,2,1,1,1,1,0.03739704,-0.025719892
2,46,2,-0.65,1.0,0.03571428571428571,2,0,1,0,0,0.03674762,-0.02274562
2,47,2,-0.65,1.0,0.08,2,0,1,0,0,0.033625916,-0.023301298
2,48,2,-0.8,1.0,0.16666666666666666,2,1,1,0,0,0.033625916,-0.023301298
2,49,2,-0.8,1.0,0.2608695652173913,2,1,1,0,0,0.03384248,-0.02254728
2,50,2,-1.0,1.0,0.3076923076923077,2,2,2,1,1,0.03384248,-0.02254728
