Episode,Step,Action,Reward,Epsilon,AvgWait,Phase,N_Queue,S_Queue,E_Queue,W_Queue,Q0,Q1
7,1,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9749494,-4.8099732
7,2,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,3,0,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,4,0,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,5,2,-0.2,0.9703725093562656,0.0,0,1,1,1,1,-4.9083195,-4.741633
7,6,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9749494,-4.8099732
7,7,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,8,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,9,2,-0.0,0.9703725093562656,0.0,0,0,0,0,0,-4.9083195,-4.741633
7,10,0,-0.2,0.9703725093562656,0.0,0,1,1,1,1,-4.9083195,-4.741633
7,11,2,-0.0,0.9703725093562656,0.0,1,0,0,0,0,-4.9749494,-4.8099732
7,12,0,-0.0,0.9703725093562656,0.0,1,0,0,0,0,-3.8117518,-3.9361312
7,13,0,-0.0,0.9703725093562656,0.0,1,0,0,0,0,-3.8117518,-3.9361312
7,14,2,-0.5,0.9703725093562656,0.0,2,0,0,0,0,-3.8117518,-3.9361312
7,15,0,-0.7,0.9703725093562656,0.0,2,1,1,1,1,-5.154755,-5.257227
7,16,0,-0.8,0.9703725093562656,0.125,2,1,1,0,0,-5.2045517,-5.320329
7,17,2,-0.8,0.9703725093562656,0.25,2,1,1,0,0,-5.1777596,-5.277403
7,18,0,-0.8,0.9703725093562656,0.375,2,1,1,0,0,-5.1777596,-5.277403
7,19,2,-0.8,0.9703725093562656,0.5,2,1,1,0,0,-5.1777596,-5.277403
7,20,2,-1.0,0.9703725093562656,0.5,2,2,2,1,1,-5.1777596,-5.277403
7,21,2,-0.8,0.9703725093562656,0.6,2,1,1,0,0,-5.2233706,-5.3371987
7,22,0,-1.1,0.9703725093562656,0.8,2,2,2,0,0,-5.1777596,-5.277403
7,23,0,-1.1,0.9703725093562656,1.0526315789473684,2,2,2,0,0,-5.194792,-5.2935767
7,24,0,-0.6,0.9703725093562656,1.3333333333333333,3,2,2,0,0,-5.194792,-5.2935767
7,25,0,-0.8,0.9703725093562656,1.2727272727272727,3,3,3,1,1,-4.2218714,-4.693458
7,26,0,-0.9,0.9703725093562656,1.5454545454545454,3,3,3,0,0,-4.26234,-4.7492056
7,27,0,2.1,0.9703725093562656,0.2727272727272727,0,1,1,1,1,-4.237288,-4.708516
7,28,0,-0.4,0.9703725093562656,0.18181818181818182,0,0,0,1,1,-4.9749494,-4.8099732
7,29,2,-0.8,0.9703725093562656,0.2857142857142857,0,0,0,1,1,-4.986172,-4.8239584
7,30,0,-1.0,0.9703725093562656,0.3333333333333333,0,1,1,2,2,-4.986172,-4.8239584
7,31,0,-0.8,0.9703725093562656,0.4166666666666667,0,0,0,1,1,-5.0513353,-4.890574
7,32,0,-0.95,0.9703725093562656,0.5416666666666666,0,0,0,1,2,-4.986172,-4.8239584
7,33,0,-1.1,0.9703725093562656,0.7083333333333334,0,0,0,2,2,-5.0276785,-4.866846
7,34,0,-1.1,0.9703725093562656,0.875,0,0,0,2,2,-5.0593457,-4.9012656
7,35,0,-1.45,0.9703725093562656,0.9285714285714286,0,1,1,3,4,-5.0593457,-4.9012656
7,36,2,-1.4,0.9703725093562656,1.1428571428571428,0,0,0,3,3,-5.1619735,-5.0058637
7,37,0,-0.9,0.9703725093562656,1.3571428571428572,0,0,0,3,3,-5.126526,-4.9719267
7,38,0,-0.9,0.9703725093562656,1.5714285714285714,0,0,0,3,3,-5.126526,-4.9719267
7,39,2,-0.9,0.9703725093562656,1.9230769230769231,1,0,0,3,3,-5.126526,-4.9719267
7,40,0,-1.1,0.9703725093562656,1.8666666666666667,1,1,1,4,4,-3.9335136,-4.0975733
7,41,2,-0.9,0.9703725093562656,2.066666666666667,1,0,0,3,3,-3.97607,-4.155877
7,42,2,4.1,0.9703725093562656,0.5,2,0,0,1,1,-3.9335136,-4.0975733
7,43,0,0.85,0.9703725093562656,0.034482758620689655,2,1,0,0,0,-5.1821527,-5.3006263
7,44,0,-0.8,0.9703725093562656,0.11538461538461539,2,1,1,0,0,-5.168415,-5.270999
7,45,0,-1.0,0.9703725093562656,0.17857142857142858,2,2,2,1,1,-5.1777596,-5.277403
7,46,0,-0.8,0.9703725093562656,0.2692307692307692,2,1,1,0,0,-5.2233706,-5.3371987
7,47,2,-0.95,0.9703725093562656,0.38461538461538464,2,2,1,0,0,-5.1777596,-5.277403
7,48,2,-1.1,0.9703725093562656,0.5384615384615384,2,2,2,0,0,-5.188822,-5.289288
7,49,0,-1.1,0.9703725093562656,0.6923076923076923,2,2,2,0,0,-5.194792,-5.2935767
7,50,2,-1.3,0.9703725093562656,0.7333333333333333,2,3,3,1,1,-5.194792,-5.2935767
7,51,0,-1.25,0.9703725093562656,0.9,2,2,3,0,0,-5.239077,-5.352479
7,52,0,-0.9,0.9703725093562656,1.1,3,3,3,0,0,-5.198063,-5.2964168
7,53,2,-0.9,0.9703725093562656,1.3,3,3,3,0,0,-4.237288,-4.708516
7,54,2,-0.9,0.9703725093562656,1.5,3,3,3,0,0,-4.237288,-4.708516
7,55,0,2.8,0.9703725093562656,0.2727272727272727,0,2,2,1,1,-4.237288,-4.708516
7,56,0,0.4,0.9703725093562656,0.0,0,0,0,0,0,-4.9635663,-4.795791
7,57,0,-0.8,0.9703725093562656,0.0625,0,0,0,1,1,-4.9083195,-4.741633
