Episode,Step,Action,Reward,Epsilon,AvgWait,Phase,N_Queue,S_Queue,E_Queue,W_Queue,Q0,Q1
1,1,0,-0.05,1.0,0.0,0,0,0,1,0,0.006136874,-0.008051276
1,2,0,-0.0,1.0,0.0,0,0,0,0,0,0.008086426,-0.009860374
1,3,2,-0.0,1.0,0.0,0,0,0,0,0,0.003926245,-0.008885652
1,4,2,-0.1,1.0,0.0,0,1,1,0,0,0.003926245,-0.008885652
1,5,2,-0.0,1.0,0.0,0,0,0,0,0,0.006209536,-0.008242059
1,6,0,-0.0,1.0,0.0,0,0,0,0,0,0.003926245,-0.008885652
1,7,2,-0.05,1.0,0.0,0,0,0,1,0,0.003926245,-0.008885652
1,8,0,-0.1,1.0,0.0,0,1,0,0,1,0.008086426,-0.009860374
1,9,0,-0.05,1.0,0.0,0,0,1,0,0,0.0047813216,-0.010345387
1,10,0,-0.0,1.0,0.0,0,0,0,0,0,0.006136874,-0.008051276
1,11,0,-0.0,1.0,0.0,0,0,0,0,0,0.003926245,-0.008885652
1,12,2,-0.05,1.0,0.0,1,0,0,1,0,0.003926245,-0.008885652
1,13,0,-0.05,1.0,0.0,1,1,0,0,0,-0.012619274,-0.031894766
1,14,0,-0.05,1.0,0.0,1,0,1,0,0,-0.012764033,-0.03411325
1,15,2,-0.55,1.0,0.0,2,0,0,0,1,-0.0125303995,-0.031154914
1,16,0,-0.7,1.0,0.07692307692307693,2,0,1,1,0,-0.028663902,-0.062690504
1,17,0,-0.7,1.0,0.14285714285714285,2,1,1,0,0,-0.027205557,-0.06158218
1,18,0,-0.8,1.0,0.2857142857142857,2,1,1,0,0,-0.025156379,-0.06481457
1,19,2,-0.65,1.0,0.25,2,0,2,0,1,-0.025156379,-0.06481457
1,20,2,-0.8,1.0,0.375,2,0,1,0,1,-0.02860319,-0.06051108
1,21,2,-0.9,1.0,0.47058823529411764,2,1,2,1,0,-0.028675327,-0.061720833
1,22,0,-1.0,1.0,0.6111111111111112,2,2,2,0,0,-0.024799041,-0.06308384
1,23,0,-1.0,1.0,0.7368421052631579,2,1,3,0,0,-0.023097638,-0.06627605
1,24,2,-0.95,1.0,0.8947368421052632,2,1,2,0,0,-0.025273269,-0.06263594
1,25,2,-0.6,1.0,1.1666666666666667,2,2,2,0,0,-0.025135446,-0.0637826
1,26,2,-0.8,1.0,1.368421052631579,2,2,3,1,0,-0.023097638,-0.06627605
1,27,0,-0.85,1.0,1.4761904761904763,3,3,4,0,0,-0.022515241,-0.06420603
1,28,2,-0.75,1.0,1.7142857142857142,3,2,3,0,0,-0.028864974,-0.10199624
1,29,0,-0.75,1.0,1.9523809523809523,3,2,3,0,0,-0.032935306,-0.10056774
1,30,0,2.75,1.0,0.3333333333333333,0,1,1,1,0,-0.032935306,-0.10056774
1,31,2,-0.1,1.0,0.09523809523809523,0,0,0,2,0,0.01029099,-0.00923341
1,32,0,-0.75,1.0,0.13636363636363635,0,1,1,1,0,0.011496352,-0.011245317
