Episode,Step,Action,Reward,Epsilon,AvgWait,Phase,N_Queue,S_Queue,E_Queue,W_Queue,Q0,Q1
1,1,2,-0.0,1.0,0.0,0,0,0,0,0,0.04259017,-0.010997046
1,2,0,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,3,0,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,4,2,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,5,2,-0.2,1.0,0.0,0,1,1,1,1,0.03850021,-0.014826816
1,6,2,-0.0,1.0,0.0,0,0,0,0,0,0.04259017,-0.010997046
1,7,2,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,8,0,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,9,0,-0.0,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,10,2,-0.2,1.0,0.0,1,1,1,1,1,0.03850021,-0.014826816
1,11,0,-0.0,1.0,0.0,1,0,0,0,0,0.03442818,-0.009462375
1,12,2,-0.0,1.0,0.0,1,0,0,0,0,0.035007678,-0.014707747
1,13,0,-0.5,1.0,0.0,0,0,0,0,0,0.035007678,-0.014707747
1,14,2,-0.5,1.0,0.0,0,0,0,0,0,0.03850021,-0.014826816
1,15,0,-0.7,1.0,0.0,0,1,1,1,1,0.03850021,-0.014826816
1,16,0,-0.65,1.0,0.0625,0,0,0,0,1,0.04259017,-0.010997046
1,17,0,-0.8,1.0,0.1875,0,0,0,1,1,0.038721807,-0.017916214
1,18,0,-0.8,1.0,0.3125,0,0,0,1,1,0.039296318,-0.014256616
1,19,0,-0.8,1.0,0.4375,0,0,0,1,1,0.039296318,-0.014256616
1,20,0,-1.0,1.0,0.45,0,1,1,2,2,0.039296318,-0.014256616
1,21,0,-0.8,1.0,0.55,0,0,0,1,1,0.042002216,-0.01145349
1,22,2,-1.1,1.0,0.75,0,0,0,2,2,0.039296318,-0.014256616
1,23,0,-0.6,1.0,1.0555555555555556,0,0,0,2,2,0.039519776,-0.014264499
1,24,2,-0.6,1.0,1.2777777777777777,1,0,0,2,2,0.039519776,-0.014264499
1,25,2,-0.8,1.0,1.2272727272727273,1,1,1,3,3,0.033067334,-0.014801126
1,26,2,-0.75,1.0,1.4545454545454546,1,0,0,2,3,0.033227716,-0.010250942
1,27,0,-1.4,1.0,1.7272727272727273,0,0,0,3,3,0.03397092,-0.016651256
1,28,0,-1.4,1.0,2.2,0,0,0,3,3,0.03888355,-0.01402949
1,29,2,-1.4,1.0,2.5,0,0,0,3,3,0.03888355,-0.01402949
1,30,2,-1.6,1.0,2.3333333333333335,0,1,1,4,4,0.03888355,-0.01402949
1,31,2,-1.4,1.0,2.5833333333333335,0,0,0,3,3,0.040736947,-0.012159723
1,32,0,-1.4,1.0,2.8333333333333335,0,0,0,3,3,0.03888355,-0.01402949
1,33,2,-1.55,1.0,3.125,0,0,0,4,3,0.03888355,-0.01402949
1,34,0,-1.7,1.0,3.4583333333333335,0,0,0,4,4,0.038064077,-0.011188987
1,35,2,-1.9,1.0,3.25,0,1,1,5,5,0.03801661,-0.014725895
1,36,2,-1.7,1.0,3.5357142857142856,0,0,0,4,4,0.040642474,-0.01353641
1,37,0,-1.5,1.0,3.892857142857143,0,0,0,5,5,0.03801661,-0.014725895
1,38,2,-1.5,1.0,4.25,1,0,0,5,5,0.03873315,-0.017207086
1,39,0,-1.5,1.0,4.607142857142857,1,0,0,5,5,0.03700996,-0.014313277
1,40,0,-2.0,1.0,4.548387096774194,1,1,1,7,7,0.03700996,-0.014313277
1,41,2,8.65,1.0,1.5333333333333334,2,1,0,3,3,0.04011527,-0.013780842
1,42,2,3.15,1.0,0.27586206896551724,2,1,0,1,1,0.08819626,-0.024299338
1,43,2,-0.05,1.0,0.10714285714285714,2,1,0,0,0,0.08807403,-0.025715832
1,44,2,-0.8,1.0,0.18518518518518517,2,1,1,0,0,0.08843487,-0.025436686
1,45,0,-1.0,1.0,0.23333333333333334,2,2,2,1,1,0.08790473,-0.022016998
1,46,0,-0.8,1.0,0.3,2,1,1,0,0,0.09082392,-0.017280625
1,47,2,-0.8,1.0,0.36666666666666664,2,1,1,0,0,0.08790473,-0.022016998
1,48,2,-1.1,1.0,0.5,2,2,2,0,0,0.08790473,-0.022016998
1,49,0,-1.1,1.0,0.6333333333333333,2,2,2,0,0,0.09134918,-0.018225461
1,50,2,-1.3,1.0,0.6764705882352942,2,3,3,1,1,0.09134918,-0.018225461
1,51,0,-0.75,1.0,0.8235294117647058,3,3,2,0,0,0.094078764,-0.012982409
1,52,2,-0.9,1.0,1.0,3,3,3,0,0,0.10437643,-0.03235912
1,53,0,-0.9,1.0,1.1764705882352942,3,3,3,0,0,0.10511418,-0.029849753
1,54,2,-1.4,1.0,1.3529411764705883,2,3,3,0,0,0.10511418,-0.029849753
1,55,2,-1.6,1.0,1.368421052631579,2,4,4,1,1,0.09484887,-0.014040226
1,56,0,-1.4,1.0,1.5263157894736843,2,3,3,0,0,0.09789358,-0.008727366
1,57,0,-1.55,1.0,1.8055555555555556,2,4,3,0,0,0.09484887,-0.014040226
1,58,2,-1.55,1.0,2.25,2,4,3,0,0,0.09834407,-0.012528544
1,59,0,-1.7,1.0,2.6666666666666665,2,4,4,0,0,0.09834407,-0.012528544
1,60,0,-1.9,1.0,2.933333333333333,2,5,5,1,1,0.098746434,-0.009882255
1,61,2,-1.85,1.0,3.5925925925925926,2,4,5,0,0,0.10170589,-0.0046021407
1,62,0,-2.0,1.0,4.115384615384615,2,5,5,0,0,0.09911196,-0.007388013
1,63,2,-2.0,1.0,4.875,2,5,5,0,0,0.10240396,-0.0058160583
1,64,2,-1.5,1.0,5.291666666666667,2,5,5,0,0,0.10240396,-0.0058160583
1,65,2,-1.7,1.0,4.892857142857143,2,6,6,1,1,0.10240396,-0.0058160583
1,66,0,-1.65,1.0,5.285714285714286,3,5,6,0,0,0.10533092,-0.00054832053
1,67,2,-1.8,1.0,5.714285714285714,3,6,6,0,0,0.11249486,-0.021188961
1,68,2,-1.8,1.0,6.37037037037037,3,6,6,0,0,0.114906766,-0.021040145
1,69,2,-2.3,1.0,6.814814814814815,2,6,6,0,0,0.114906766,-0.021040145
1,70,2,-2.65,1.0,6.566666666666666,2,7,8,1,1,0.10624144,-0.0019476342
1,71,2,-2.6,1.0,7.033333333333333,2,7,7,0,0,0.10902722,0.0033847014
1,72,0,-2.6,1.0,7.758620689655173,2,7,7,0,0,0.110246025,0.0010286921
1,73,0,-2.6,1.0,8.241379310344827,2,7,7,0,0,0.110246025,0.0010286921
1,74,0,-2.6,1.0,8.724137931034482,2,7,7,0,0,0.110246025,0.0010286921
1,75,2,-2.95,1.0,8.375,2,9,8,1,1,0.110246025,0.0010286921
1,76,0,-2.9,1.0,8.875,2,8,8,0,0,0.11520207,0.0050225845
1,77,0,-2.9,1.0,9.375,2,8,8,0,0,0.113677725,0.0028865945
1,78,2,-2.9,1.0,9.875,2,8,8,0,0,0.113677725,0.0028865945
1,79,2,-2.7,1.0,11.133333333333333,2,9,9,0,0,0.113677725,0.0028865945
1,80,2,-2.9,1.0,10.352941176470589,2,10,10,1,1,0.11690735,0.0046014464
1,81,0,-2.7,1.0,10.882352941176471,3,9,9,0,0,0.11782172,0.007994973
1,82,2,-2.7,1.0,11.411764705882353,3,9,9,0,0,0.12425225,-0.012991924
1,83,2,-2.7,1.0,12.303030303030303,3,9,9,0,0,0.12425225,-0.012991924
1,84,0,18.4,1.0,6.393939393939394,0,6,6,0,0,0.12425225,-0.012991924
1,85,0,12.55,1.0,2.0833333333333335,0,4,5,1,1,0.051194947,-0.004356559
1,86,0,5.3,1.0,0.4444444444444444,0,1,1,0,0,0.046619292,-0.0050531644
1,87,2,0.8,1.0,0.05555555555555555,0,0,0,1,1,0.042383336,-0.012227321
1,88,2,-0.8,1.0,0.11428571428571428,0,0,0,1,1,0.039296318,-0.014256616
1,89,0,-0.8,1.0,0.17647058823529413,0,0,0,1,1,0.039296318,-0.014256616
1,90,0,-1.0,1.0,0.21052631578947367,0,1,1,2,2,0.039296318,-0.014256616
1,91,2,-0.8,1.0,0.2631578947368421,0,0,0,1,1,0.042002216,-0.01145349
1,92,2,-1.1,1.0,0.3684210526315789,0,0,0,2,2,0.039296318,-0.014256616
1,93,0,-1.1,1.0,0.47368421052631576,0,0,0,2,2,0.039519776,-0.014264499
