Episode,Step,Action,Reward,Epsilon,AvgWait,Phase,N_Queue,S_Queue,E_Queue,W_Queue,Q0,Q1
51,1,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-14.04441,-14.125835
51,2,2,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,3,2,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,4,2,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,5,0,-0.2,0.7783125570686419,0.0,0,1,1,1,1,-13.958508,-14.098538
51,6,2,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-14.04441,-14.125835
51,7,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,8,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,9,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,10,0,-0.2,0.7783125570686419,0.0,0,1,1,1,1,-13.958508,-14.098538
51,11,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-14.04441,-14.125835
51,12,0,-0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.958508,-14.098538
51,13,2,-0.0,0.7783125570686419,0.0,1,0,0,0,0,-13.958508,-14.098538
51,14,2,-0.0,0.7783125570686419,0.0,1,0,0,0,0,-12.037071,-12.207491
51,15,0,-0.2,0.7783125570686419,0.0,1,1,1,1,1,-12.037071,-12.207491
51,16,2,-0.8,0.7783125570686419,0.125,2,1,1,0,0,-11.503624,-11.696076
51,17,2,-0.8,0.7783125570686419,0.25,2,1,1,0,0,-14.471025,-14.535009
51,18,0,-0.8,0.7783125570686419,0.375,2,1,1,0,0,-14.471025,-14.535009
51,19,0,-0.8,0.7783125570686419,0.5,2,1,1,0,0,-14.471025,-14.535009
51,20,2,-1.0,0.7783125570686419,0.5,2,2,2,1,1,-14.471025,-14.535009
51,21,2,-0.8,0.7783125570686419,0.6,2,1,1,0,0,-13.841663,-13.982146
51,22,2,-1.1,0.7783125570686419,0.8,2,2,2,0,0,-14.471025,-14.535009
51,23,2,-1.1,0.7783125570686419,1.0,2,2,2,0,0,-13.899674,-14.12301
51,24,0,-1.1,0.7783125570686419,1.2,2,2,2,0,0,-13.899674,-14.12301
51,25,0,-1.3,0.7783125570686419,1.1666666666666667,2,3,3,1,1,-13.899674,-14.12301
51,26,2,-0.9,0.7783125570686419,1.4166666666666667,2,3,3,0,0,-12.894735,-13.3076725
51,27,0,-0.9,0.7783125570686419,1.6666666666666667,3,3,3,0,0,-12.925502,-13.434546
51,28,2,-0.9,0.7783125570686419,1.9166666666666667,3,3,3,0,0,-11.056118,-11.052859
51,29,2,-0.9,0.7783125570686419,2.3636363636363638,3,3,3,0,0,-11.056118,-11.052859
51,30,2,3.4,0.7783125570686419,0.4,0,2,2,1,1,-11.056118,-11.052859
51,31,2,0.35,0.7783125570686419,0.041666666666666664,0,0,0,0,1,-13.365629,-13.460142
51,32,0,-0.8,0.7783125570686419,0.125,0,0,0,1,1,-14.308627,-14.407007
51,33,2,-0.8,0.7783125570686419,0.21739130434782608,0,0,0,1,1,-14.541338,-14.608534
51,34,0,-0.8,0.7783125570686419,0.30434782608695654,0,0,0,1,1,-14.541338,-14.608534
51,35,2,-1.0,0.7783125570686419,0.34615384615384615,0,1,1,2,2,-14.541338,-14.608534
51,36,0,-0.8,0.7783125570686419,0.4230769230769231,0,0,0,1,1,-14.35186,-14.244039
51,37,0,-0.8,0.7783125570686419,0.5,0,0,0,1,1,-14.541338,-14.608534
51,38,0,-0.8,0.7783125570686419,0.5769230769230769,0,0,0,1,1,-14.541338,-14.608534
51,39,0,-0.95,0.7783125570686419,0.6923076923076923,0,0,0,1,2,-14.541338,-14.608534
51,40,2,-0.8,0.7783125570686419,0.7586206896551724,1,1,1,3,3,-14.550432,-14.541052
51,41,2,-0.75,0.7783125570686419,0.9310344827586207,1,0,0,2,3,-10.842104,-11.017122
51,42,0,-0.9,0.7783125570686419,1.1785714285714286,1,0,1,2,3,-11.212494,-11.352854
51,43,2,2.05,0.7783125570686419,0.21428571428571427,2,0,1,1,1,-11.2062025,-11.377409
51,44,0,-0.25,0.7783125570686419,0.10714285714285714,2,0,1,0,0,-13.946492,-13.9827
51,45,2,-0.85,0.7783125570686419,0.12903225806451613,2,1,2,1,1,-14.505708,-14.54128
51,46,0,-0.65,0.7783125570686419,0.17857142857142858,2,0,1,0,0,-14.095665,-14.170251
51,47,0,-0.8,0.7783125570686419,0.2692307692307692,2,1,1,0,0,-14.505708,-14.54128
51,48,0,-0.8,0.7783125570686419,0.36,2,1,1,0,0,-14.471025,-14.535009
51,49,2,-0.95,0.7783125570686419,0.5,2,1,2,0,0,-14.471025,-14.535009
51,50,2,-1.15,0.7783125570686419,0.5555555555555556,2,2,3,1,1,-14.327343,-14.426344
51,51,2,-1.1,0.7783125570686419,0.7037037037037037,2,1,3,0,0,-13.387148,-13.6578455
51,52,2,-1.1,0.7783125570686419,0.8518518518518519,2,1,3,0,0,-13.899227,-14.125162
51,53,0,-0.75,0.7783125570686419,1.037037037037037,3,2,3,0,0,-13.899227,-14.125162
51,54,2,-0.75,0.7783125570686419,1.2222222222222223,3,2,3,0,0,-11.297911,-11.2466545
51,55,0,-0.95,0.7783125570686419,1.3103448275862069,3,3,4,1,1,-11.297911,-11.2466545
51,56,0,2.35,0.7783125570686419,0.27586206896551724,0,0,1,1,1,-10.2832775,-10.42652
51,57,0,-0.2,0.7783125570686419,0.13793103448275862,0,0,0,1,1,-14.365158,-14.423254
51,58,0,-0.8,0.7783125570686419,0.20689655172413793,0,0,0,1,1,-14.541338,-14.608534
51,59,0,-0.8,0.7783125570686419,0.2962962962962963,0,0,0,1,1,-14.541338,-14.608534
51,60,0,-1.0,0.7783125570686419,0.3448275862068966,0,1,1,2,2,-14.541338,-14.608534
51,61,2,-0.8,0.7783125570686419,0.42857142857142855,0,0,0,1,1,-14.35186,-14.244039
51,62,2,-0.95,0.7783125570686419,0.6,0,0,0,2,1,-14.541338,-14.608534
51,63,2,-1.1,0.7783125570686419,0.76,0,0,0,2,2,-14.604347,-14.612138
51,64,2,-1.1,0.7783125570686419,0.92,0,0,0,2,2,-14.364549,-14.191457
51,65,0,-1.3,0.7783125570686419,0.9310344827586207,0,1,1,3,3,-14.364549,-14.191457
51,66,2,-0.75,0.7783125570686419,1.103448275862069,1,0,0,2,3,-14.037339,-13.575812
51,67,0,-0.9,0.7783125570686419,1.3571428571428572,1,0,0,3,3,-11.212494,-11.352854
51,68,2,-0.9,0.7783125570686419,1.5714285714285714,1,0,0,3,3,-10.981932,-11.079113
51,69,2,3.1,0.7783125570686419,0.25,2,0,0,1,1,-10.981932,-11.079113
51,70,2,0.0,0.7783125570686419,0.0,2,1,1,1,1,-13.8058,-13.823603
51,71,0,-0.5,0.7783125570686419,0.0,2,0,0,0,0,-13.990112,-14.053022
51,72,0,-0.65,0.7783125570686419,0.038461538461538464,2,0,1,0,0,-14.43449,-14.444471
51,73,2,-0.8,0.7783125570686419,0.11538461538461539,2,1,1,0,0,-14.505708,-14.54128
51,74,2,-0.8,0.7783125570686419,0.20833333333333334,2,1,1,0,0,-14.471025,-14.535009
51,75,0,-1.0,0.7783125570686419,0.25,2,2,2,1,1,-14.471025,-14.535009
51,76,2,-0.8,0.7783125570686419,0.34615384615384615,2,1,1,0,0,-13.841663,-13.982146
51,77,2,-1.1,0.7783125570686419,0.5,2,2,2,0,0,-14.471025,-14.535009
51,78,0,-1.1,0.7783125570686419,0.6538461538461539,2,2,2,0,0,-13.899674,-14.12301
51,79,2,-0.6,0.7783125570686419,0.84,2,2,2,0,0,-13.899674,-14.12301
51,80,2,-0.8,0.7783125570686419,0.8620689655172413,2,3,3,1,1,-13.899674,-14.12301
51,81,0,-0.6,0.7783125570686419,1.0357142857142858,3,2,2,0,0,-12.894735,-13.3076725
51,82,0,-0.9,0.7783125570686419,1.25,3,3,3,0,0,-11.526938,-11.444405
51,83,2,-0.9,0.7783125570686419,1.4642857142857142,3,3,3,0,0,-11.056118,-11.052859
51,84,0,2.9,0.7783125570686419,0.21428571428571427,0,1,1,0,0,-11.056118,-11.052859
51,85,0,-0.1,0.7783125570686419,0.0,0,1,1,1,1,-13.36044,-13.541234
51,86,2,-0.65,0.7783125570686419,0.03571428571428571,0,0,0,1,0,-14.04441,-14.125835
51,87,2,-0.8,0.7783125570686419,0.11538461538461539,0,0,0,1,1,-14.322612,-14.413655
51,88,2,-0.8,0.7783125570686419,0.20833333333333334,0,0,0,1,1,-14.541338,-14.608534
51,89,2,-0.8,0.7783125570686419,0.30434782608695654,0,0,0,1,1,-14.541338,-14.608534
51,90,2,-1.0,0.7783125570686419,0.34615384615384615,0,1,1,2,2,-14.541338,-14.608534
51,91,0,-0.8,0.7783125570686419,0.4230769230769231,0,0,0,1,1,-14.35186,-14.244039
51,92,0,-1.1,0.7783125570686419,0.5769230769230769,0,0,0,2,2,-14.541338,-14.608534
51,93,0,-1.1,0.7783125570686419,0.7307692307692307,0,0,0,2,2,-14.364549,-14.191457
51,94,2,-0.6,0.7783125570686419,0.8846153846153846,1,0,0,2,2,-14.364549,-14.191457
51,95,0,-0.8,0.7783125570686419,0.9,1,1,1,3,3,-11.481572,-11.644258
51,96,2,-0.75,0.7783125570686419,1.103448275862069,1,0,1,2,2,-10.842104,-11.017122
51,97,0,2.15,0.7783125570686419,0.14285714285714285,2,0,1,1,1,-11.420395,-11.587904
51,98,0,-0.45,0.7783125570686419,0.10714285714285714,2,0,1,0,0,-13.946492,-13.9827
51,99,0,-0.65,0.7783125570686419,0.14285714285714285,2,0,1,0,0,-14.505708,-14.54128
51,100,2,-0.85,0.7783125570686419,0.16666666666666666,2,1,2,1,1,-14.505708,-14.54128
51,101,0,-0.65,0.7783125570686419,0.21428571428571427,2,0,1,0,0,-14.095665,-14.170251
51,102,2,-0.95,0.7783125570686419,0.36,2,1,2,0,0,-14.505708,-14.54128
51,103,2,-0.95,0.7783125570686419,0.5,2,1,2,0,0,-14.327343,-14.426344
51,104,0,-0.95,0.7783125570686419,0.6521739130434783,2,1,2,0,0,-14.327343,-14.426344
51,105,2,-1.15,0.7783125570686419,0.6666666666666666,2,2,3,1,1,-14.327343,-14.426344
51,106,0,-1.1,0.7783125570686419,0.8148148148148148,2,1,3,0,0,-13.387148,-13.6578455
51,107,0,-0.75,0.7783125570686419,1.0,3,2,3,0,0,-13.899227,-14.125162
51,108,2,-0.75,0.7783125570686419,1.2307692307692308,3,2,3,0,0,-11.297911,-11.2466545
51,109,0,-0.75,0.7783125570686419,1.48,3,2,3,0,0,-11.297911,-11.2466545
51,110,2,2.45,0.7783125570686419,0.1724137931034483,0,1,2,1,1,-11.297911,-11.2466545
51,111,0,0.0,0.7783125570686419,0.0,0,0,0,0,0,-13.700814,-13.774751
51,112,0,-0.65,0.7783125570686419,0.034482758620689655,0,0,0,0,1,-13.958508,-14.098538
51,113,0,-0.8,0.7783125570686419,0.11538461538461539,0,0,0,1,1,-14.308627,-14.407007
51,114,2,-0.8,0.7783125570686419,0.2,0,0,0,1,1,-14.541338,-14.608534
51,115,0,-1.0,0.7783125570686419,0.25925925925925924,0,1,1,2,2,-14.541338,-14.608534
51,116,2,-0.8,0.7783125570686419,0.36,0,0,0,1,1,-14.35186,-14.244039
51,117,2,-0.95,0.7783125570686419,0.48,0,0,0,2,1,-14.541338,-14.608534
51,118,0,-1.1,0.7783125570686419,0.64,0,0,0,2,2,-14.604347,-14.612138
51,119,0,-1.1,0.7783125570686419,0.8333333333333334,0,0,0,2,2,-14.364549,-14.191457
51,120,2,-0.95,0.7783125570686419,0.8928571428571429,1,1,1,3,4,-14.364549,-14.191457
51,121,2,-0.9,0.7783125570686419,1.1071428571428572,1,0,0,3,3,-10.564393,-10.717847
51,122,0,-1.05,0.7783125570686419,1.3571428571428572,1,1,0,3,3,-10.981932,-11.079113
51,123,0,2.25,0.7783125570686419,0.32142857142857145,2,1,0,1,1,-10.867106,-11.013399
51,124,0,0.05,0.7783125570686419,0.10714285714285714,2,1,0,0,0,-13.853405,-13.896442
51,125,0,-0.85,0.7783125570686419,0.12903225806451613,2,2,1,1,1,-14.46121,-14.49383
51,126,2,-0.8,0.7783125570686419,0.20689655172413793,2,1,1,0,0,-14.02531,-14.115181
51,127,2,-0.95,0.7783125570686419,0.3333333333333333,2,2,1,0,0,-14.471025,-14.535009
51,128,0,-0.95,0.7744209942832987,0.48,2,2,1,0,0,-14.316097,-14.413063
51,129,2,-0.95,0.7705488893118821,0.625,2,2,1,0,0,-14.254287,-14.349177
51,130,0,-1.15,0.7666961448653228,0.6666666666666666,2,3,2,1,1,-14.197447,-14.290163
51,131,0,-1.1,0.7628626641409961,0.8148148148148148,2,3,1,0,0,-13.1930065,-13.478214
51,132,0,-1.25,0.7590483508202911,1.0,2,3,2,0,0,-13.685266,-13.9158945
51,133,0,-0.75,0.7552531090661896,1.1851851851851851,3,3,2,0,0,-13.204647,-13.574681
51,134,2,-0.75,0.7514768435208586,1.3703703703703705,3,3,2,0,0,-11.125311,-11.09333
51,135,2,-0.95,0.7477194593032543,1.3548387096774193,3,4,3,1,1,-11.1479645,-11.113613
51,136,2,2.9,0.7439808620067381,0.2413793103448276,0,1,0,1,0,-10.166634,-10.325024
51,137,0,-0.2,0.7402609576967044,0.10344827586206896,0,0,0,1,1,-13.881952,-13.953763
51,138,0,-0.8,0.7365596529082209,0.1724137931034483,0,0,0,1,1,-14.423377,-14.41764
51,139,0,-0.8,0.7328768546436798,0.25925925925925924,0,0,0,1,1,-14.434662,-14.419528
51,140,2,-1.0,0.7292124703704614,0.3103448275862069,0,1,1,2,2,-14.445952,-14.421727
51,141,2,-0.8,0.7255664080186092,0.4074074074074074,0,0,0,1,1,-14.285374,-14.088138
51,142,0,-0.95,0.7219385759785161,0.56,0,0,0,2,1,-14.461381,-14.416568
51,143,0,-1.1,0.7183288830986235,0.72,0,0,0,2,2,-14.556699,-14.4529505
51,144,2,-1.1,0.7147372386831304,0.88,0,0,0,2,2,-14.328091,-14.04117
51,145,2,-1.3,0.7111635524897147,0.896551724137931,0,1,1,3,3,-14.331967,-14.038618
51,146,0,-0.75,0.7076077347272661,1.1071428571428572,0,0,0,2,3,-14.009803,-13.42466
51,147,2,-0.9,0.7040696960536298,1.3214285714285714,1,0,0,3,3,-14.077322,-13.581248
51,148,2,-0.9,0.7005493475733616,1.5357142857142858,1,0,0,3,3,-11.019269,-11.072362
51,149,0,-0.9,0.6970466008354949,1.75,1,0,0,3,3,-11.018669,-11.078202
51,150,0,3.2,0.6935613678313174,0.2903225806451613,2,1,1,2,2,-11.018023,-11.084965
51,151,0,0.25,0.6900935609921608,0.03333333333333333,2,0,1,0,0,-13.283783,-13.350158
51,152,2,-0.65,0.6866430931872,0.06896551724137931,2,0,1,0,0,-14.453542,-14.448127
51,153,2,-0.8,0.683209877721264,0.15384615384615385,2,1,1,0,0,-14.448939,-14.449212
51,154,2,-0.8,0.6797938283326577,0.24,2,1,1,0,0,-14.40955,-14.438204
51,155,2,-1.0,0.6763948591909944,0.2857142857142857,2,2,2,1,1,-14.409633,-14.441475
51,156,0,-0.8,0.6730128848950394,0.37037037037037035,2,1,1,0,0,-13.760288,-13.9409
51,157,0,-1.1,0.6696478204705643,0.5384615384615384,2,2,2,0,0,-14.399656,-14.437529
51,158,0,-1.1,0.6662995813682114,0.6923076923076923,2,2,2,0,0,-13.696767,-13.960004
51,159,0,-1.1,0.6629680834613704,0.88,2,2,2,0,0,-13.688011,-13.955517
51,160,2,-0.8,0.6596532430440635,0.896551724137931,2,3,3,1,1,-13.686349,-13.953676
51,161,0,-0.9,0.6563549768288431,1.1428571428571428,3,3,3,0,0,-12.759395,-13.246401
51,162,2,-0.9,0.6530732019446989,1.3571428571428572,3,3,3,0,0,-10.953257,-11.0664625
51,163,0,-0.9,0.6498078359349754,1.5714285714285714,3,3,3,0,0,-10.959117,-11.070605
51,164,0,3.0,0.6465587967553005,0.2857142857142857,0,1,1,0,0,-10.965704,-11.071797
51,165,0,0.1,0.643326002771524,0.0,0,1,1,1,1,-13.204083,-13.217982
51,166,2,-0.65,0.6401093727576663,0.034482758620689655,0,0,0,0,1,-13.918177,-13.814338
51,167,2,-0.8,0.636908825893878,0.1111111111111111,0,0,0,1,1,-14.2066765,-14.114757
51,168,2,-0.8,0.6337242817644085,0.2,0,0,0,1,1,-14.517723,-14.376607
51,169,0,-0.8,0.6305556603555865,0.2916666666666667,0,0,0,1,1,-14.525922,-14.37754
51,170,0,-1.0,0.6274028820538086,0.34615384615384615,0,1,1,2,2,-14.529315,-14.374192
